Monat;Werk 1;Werk 2;Werk 3
1;33839;45147;19438
2;36690;42656;24252
3;38211;46226;24978
4;36979;47929;23872
5;31164;47255;24145
6;25176;47667;21801
7;33159;46354;26475
8;17999;42802;25903
9;29654;50999;28315
10;33287;46386;23547
11;31415;44680;28120
12;19740;33242;21938
13;16956;40291;21910
14;29205;43123;24965
15;35790;49161;27874
16;27505;46865;26517
17;25175;48662;23695
18;29324;50915;27475
19;33396;43290;29142
20;20907;40469;26539
21;25806;53782;27528
22;32424;53095;28311
23;27453;50772;26355
24;15251;36915;19894
25;14546;38936;18868
26;21421;46005;26972
27;25488;50099;26511
28;31316;47458;28143
29;21013;46451;21297
30;31294;51767;29203
31;32063;45453;26573
32;26028;32187;29434
33;30324;48336;28894
34;28287;44789;23709
35;32752;47983;26480
36;22522;28135;14177
37;23230;36011;20718
38;22337;46076;25993
39;31567;51580;30210
40;22944;30223;26647
41;31125;48286;30402
42;22072;46240;28634
43;30083;47067;30906
44;16244;25332;33676
45;32167;41085;30794
46;29816;43322;30989
47;32244;48686;27354
48;19306;37219;20066
49;23545;37529;24062
50;23141;41037;28355
51;31970;53588;31851
52;31048;48818;26900
53;22256;49058;22842
54;34407;49131;26243
55;37365;44634;27582
56;36329;39306;28950
57;33104;44610;21042
58;37089;46942;18231
59;31802;45363;17493
60;23521;37678;13297
